MinSup,Itemsets,Time_FP-Growth Baseline,Memory_FP-Growth Baseline,Time_FP-Growth Optimized,Memory_FP-Growth Optimized
0.01,1523,2.1683704,190.41796875,2.0030892,193.7578125
0.02,378,1.6301398,146.50390625,1.7599192,113.34375
0.03,242,0.8088794,77.06640625,0.7735429,78.5625
0.04,154,0.5071869,43.109375,0.5228438,39.6640625
0.05,99,0.2537177,19.75,0.2226835,20.17578125
