DataRatio,NumTransactions,JuliaTime,SPMFTime
0.1,6756,2.3640394,1.252
0.25,16890,0.4292041,1.474
0.5,33779,0.4640822,1.501
0.75,50668,0.318444,0.868
1.0,67557,0.2413685,0.633
