DataRatio,NumTransactions,JuliaTime,SPMFTime
0.1,9991,0.0123511,0.184
0.25,24978,0.035328,0.337
0.5,49955,0.0767825,0.551
0.75,74933,0.1592693,0.673
1.0,99910,0.2545624,1.09
