MinSup,Itemsets,Time_FP-Growth Baseline,Memory_FP-Growth Baseline,Time_FP-Growth Optimized,Memory_FP-Growth Optimized
0.3,149545,3.2617611,215.6640625,3.6752071,268.57421875
0.35,68222,2.389751,218.91796875,2.7791867,233.76953125
0.4,32528,2.318382,194.52734375,1.7541837,195.1484375
0.45,16123,1.4873961,181.38671875,1.4508339,186.05078125
0.5,8057,1.1862256,161.921875,1.1188357,161.6484375
