DataRatio,NumTransactions,JuliaTime,SPMFTime
0.1,10000,0.0045472,0.085
0.25,25000,0.0066126,0.159
0.5,50000,0.0175275,0.247
0.75,75000,0.020022,0.381
1.0,100000,0.0307342,0.312
