MinSup,Itemsets,Time_FP-Growth Baseline,Memory_FP-Growth Baseline,Time_FP-Growth Optimized,Memory_FP-Growth Optimized
0.3,3,0.0246108,12.42578125,0.0201018,1.14453125
0.35,2,0.0233309,3.27734375,0.0185169,2.05859375
0.4,2,0.0214579,2.109375,0.0240827,0.515625
0.45,2,0.0285526,2.1015625,0.0212153,1.95703125
0.5,1,0.0225345,18.40234375,0.0196351,2.23828125
