MinSup,Itemsets,Time_FP-Growth Baseline,Memory_FP-Growth Baseline,Time_FP-Growth Optimized,Memory_FP-Growth Optimized
0.75,1585551,2.3861387,584.1015625,2.2284901,835.1484375
0.8,533975,0.6528565,279.9296875,0.5298795,239.27734375
0.85,142127,0.237065,72.15625,0.1899871,80.41015625
0.9,27127,0.1659872,27.53125,0.1655874,34.48828125
0.95,2201,0.1098454,23.06640625,0.1087561,21.8046875
